Check #,Check Name,Check Description,Error Level,Check Type,NCD
613,Emissions Type Code Present,Required when reporting the process component for nonroad. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
614,Emissions Type Code Valid,Must match value in code list.,Critical,Code,no
617,Base Year for BaseYearVMT Data Type,This element must be reported as an integer.,Warning,Format,yes
619,Base Year for BaseYearVMT Range,Must be 2008.,Warning,Range,yes
620,FIPS County ID Code,Must match value in code list. Note - leading zeros may have been stripped.,Critical,Code,yes
621,FIPS State ID Code,Must match value in code list. Note - leading zeros may have been stripped.,Critical,Code,yes
622,Road Type Code,Must match value in HPMSRoadType Table code list.,Warning,Code,yes
624,VClass Code,Must match value in M6VClass Table code list.,Warning,Code,yes
625,VMT Data Type,This element must be reported as a float or null.,Warning,Format,yes
626,VMT Range,Must be greater than or equal to zero.,Warning,Range,yes
627,Altitude Data Type,This element must be reported as a character.,Critical,Format,yes
628,Altitude Valid,Allowable values are 'H' or 'L'.,Critical,Range,yes
629,Barometric Pressure Data Type,This element must be reported as a float.,Critical,Format,yes
630,Barometric Pressure Range,Must be between 13 to 33.,Critical,Range,yes
631,HDV Stage Two Percent Data Type,This element must be reported as a float or null.,Warning,Format,yes
634,HDV Stage Two Percent Range,Must be between 0 to 100.,Warning,Range,yes
635,LDV Stage Two Percent Data Type,This element must be reported as a float or null.,Warning,Format,yes
636,LDV Stage Two Percent Range,Must be between 0 to 100.,Warning,Range,yes
637,NGV Fraction File Name Code,Must match a valid State and County FIPS code.,Warning,Code,yes
638,NGV Fraction File Name External File,"Included in the submission must be a file with the value as the file name with the extension "".ngv"".",Warning,Conditional,yes
639,Ozone Season End Day Data Type,This element must be reported as an integer.,Critical,Format,yes
640,Ozone Season End Day Range,Must be within 1 to 31.,Critical,Range,yes
642,Ozone Season End Month Data Type,This element must be reported as an integer.,Critical,Format,yes
643,Ozone Season End Month Range,Must be within 1 to 12.,Critical,Range,yes
644,Ozone Season Start Day Data Type,This element must be reported as an integer.,Critical,Format,yes
645,Ozone Season Start Day Range,Must be within 1 to 31.,Critical,Range,yes
646,Ozone Season Start Month Data Type,This element must be reported as an integer.,Critical,Format,yes
647,Ozone Season Start Month Range,Must be within 1 to 12.,Critical,Range,yes
648,Phase In Years Data Type,This element must be reported as an integer or null.,Warning,Format,yes
650,Phase In Years Range,Must be within 1 to 9.,Critical,Range,yes
651,Stage 2 Start Year Data Type,This element must be reported as an integer or null.,Warning,Format,yes
652,Stage 2 Start Year Range,"Must be within 0 to 50, 89 to 99, 2000 to 2050 or 1989 to 1999.",Critical,Range,yes
653,File Type ID Code,Must match value in FileType Table code list.,Critical,Code,yes
654,County NR File Name Data Type,This element must be reported as 8 characters.,Critical,Format,yes
655,County NR File Name Value,"If the FileTypeID is ""sea"", ""pop"", or ""grw"", then this value must be SSCCC, and the external file it points to should be named SSCCCsea, or SSCCCpop, or SSCCCgrw (respectively). If the FileTypeID is any of the other acceptable values, then this value must be SSCCCFileTypeID and the external file it points to should be named SSCCCFileTypeID.alo.",Critical,Conditional,yes
656,County NR File Name External File,"If this is provided, then the associated file must be in the submission.",Critical,Conditional,yes
657,Month Data Type,This element must be reported as an integer.,Critical,Format,yes
658,Month Range,Must be within 1 to 12.,Critical,Range,yes
659,VType Code,Must match value in M6VType Table code list.,Warning,Code,yes
660,Alloc Factor Data Type,This element must be reported as a float.,Warning,Format,yes
661,Alloc Factor Range,Value must be within one to 100.,Warning,Range,yes
662,Alloc Factor Yearly Total,The twelve monthly values must sum to min of 99.9 and max of 100.1 for each County-vtype-roadtype combination.,Warning,Calculation,yes
678,ATP File Name File Exists,"If a value is reported for this file name, the file must exist in the submission.",Warning,Conditional,yes
679,Avg Speed Dist Base File Name Files Exist,"If a value is reported for this file name, there must be 18 files that match this name with extensions of "".fwX"" and "".arX"" where ""X"" is an integer 1 to 9.",Warning,Conditional,yes
680,Diesel Fract File Name File Exists,"If a value is reported for this file name, the file must exist in the submission. Extension must be "".dsf"".",Warning,Conditional,yes
681,Diurn Soak Activity File Name File Exists,"If a value is reported for this file name, the file must exist in the submission. Extension must be "".dsa"".",Warning,Conditional,yes
682,Hot Soak File Name File Exists,"If a value is reported for this file name, the file must exist in the submission. Extension must be "".hsa"".",Warning,Conditional,yes
683,IM File Name File Exists,"If a value is reported for this file name, the file must exist in the submission. Extension must be "".imp"".",Warning,Conditional,yes
684,Mile Accum File Name File Exists,"If a value is reported for this file name, the file must exist in the submission. Extension must be "".mil"".",Warning,Conditional,yes
685,NRACT File Name File Exists,"If a value is reported for this file name, the file must exist in the submission. Extension must be "".act"".",Critical,Conditional,yes
686,Reg Dist File Name File Exists,"If a value is reported for this file name, the file must exist in the submission. Extension must be "".reg"".",Warning,Conditional,yes
687,Soak Dist File Name File Exists,"If a value is reported for this file name, the file must exist in the submission. Extension must be "".sok"".",Warning,Conditional,yes
688,Start Dist File Name File Exists,"If a value is reported for this file name, the file must exist in the submission. Extension must be "".str"".",Warning,Conditional,yes
689,Trip Length File Name File Exists,"If a value is reported for this file name, the file must exist in the submission. Extension must be "".wdt"".",Warning,Conditional,yes
690,Trips Per Day File Name File Exists,"If a value is reported for this file name, the file must exist in the submission. Extension must be "".tpd"".",Warning,Conditional,yes
691,VMT By Hour File Name File Exists,"If a value is reported for this file name, the file must exist in the submission. Extension must be "".vmt"".",Warning,Conditional,yes
692,Hwy Diesel ID Code,Must match a diesel identification value in the diesel table or be null.,Warning,Code,yes
693,Hwy Gasoline ID Code,Must match a gasoline identification value in the gasoline table or be null.,Warning,Code,yes
694,NG Id Code,Must match a natural gas identification value in the natural gas table or be null.,Critical,Code,yes
695,NR Gasoline Id Code,Must match a gasoline identification value in the gasoline table or be null.,Critical,Code,yes
696,RM Diesel Id Code,Must match a diesel identification value in the diesel table or be null.,Critical,Code,yes
698,NR Diesel Id Code,Must match a diesel identification value in the diesel table or be null.,Critical,Code,yes
709,Hour Id Data Type,This element must be reported as an integer.,Critical,Format,yes
710,Hour Id Range,Must be within 1 to 24.,Critical,Range,yes
711,Year Data Type,This element must be reported as an integer.,Critical,Format,yes
712,Year Range,Must be 2008.,Critical,Range,yes
714,Relative Humidity Data Type,This element must be reported as a float.,Critical,Format,yes
715,Relative Humidity Range,Must be within 0 to 100.,Critical,Range,yes
716,Temperature Data Type,This element must be reported as a float.,Critical,Format,yes
717,Temperature Range,Must be within -200 to 200.,Critical,Range,yes
718,temperature and relative humidity must change,temperature and relative humidity must change,Critical,Present,no
719,Diesel Id Data Type,This element must be reported as an integer.,Critical,Format,yes
720,Diesel Id Range,"Must be between 0 to 9999, inclusive.",Critical,Range,yes
721,Diesel Sulfur Data Type,This element must be reported as an integer.,Critical,Format,yes
722,Diesel Sulfur Range,"Must be between 0 to 5000, inclusive.",Critical,Range,yes
723,Gasoline Id Data Type,This element must be reported as an integer.,Critical,Format,yes
725,Aromatic Content Data Type,This element must be reported as a float.,Critical,Format,yes
726,Aromatic Content Range,Must be within 10 to 55.,Critical,Range,yes
727,Benzene Content Data Type,This element must be reported as a float.,Critical,Format,yes
728,Benzene Content Range,Must be within 0 to 5.,Critical,Range,yes
729,E 200 Data Type,This element must be reported as a float.,Critical,Format,yes
730,E 200 Range,Must be within 30 to 70.,Critical,Range,yes
731,E 300 Data Type,This element must be reported as a float.,Critical,Format,yes
732,E 300 Range,Must be within 70 to 100.,Critical,Range,yes
733,ETBE Mkt Share Data Type,This element must be reported as a float.,Critical,Format,yes
734,ETBE Mkt Share Range,Must be within 0 to 1.,Critical,Range,yes
735,ETBE Volume Data Type,This element must be reported as a float.,Critical,Format,yes
736,ETBE Volume Range,Must be within 0 to 17.6.,Critical,Range,yes
737,ETOH Mkt Share Data Type,This element must be reported as a float.,Critical,Format,yes
738,ETOH Mkt Share Range,Must be within 0 to 1.,Critical,Range,yes
739,ETOH Volume Data Type,This element must be reported as a float.,Critical,Format,yes
740,ETOH Volume Range,Must be within 0 to 10.61.,Critical,Range,yes
741,Gas Max Sulfur Data Type,This element must be reported as a float.,Critical,Format,yes
742,Gas Max Sulfur Range,Must be greater than or equal to the Gas Sulfur value.,Warning,Range,yes
743,Gas Sulfur Data Type,This element must be reported as a float.,Critical,Format,yes
744,Gas Sulfur Range,Must be greater than or equal to zero.,Critical,Range,yes
745,MTBE Mkt Share Data Type,This element must be reported as a float.,Critical,Format,yes
746,MTBE Mkt Share Range,Must be within 0 to 1.,Critical,Range,yes
747,MTBE Volume Data Type,This element must be reported as a float.,Critical,Format,yes
748,MTBE Volume Range,Must be within 0 to 15.1.,Critical,Range,yes
749,Olefin Content Data Type,This element must be reported as a float.,Critical,Format,yes
750,Olefin Content Range,Must be 0.0 and 30.0 (inclusive).,Critical,Range,yes
751,RFG Value,Must be 'Y' or 'N' single character.,Critical,Range,yes
752,RVP Data Type,This element must be reported as a float.,Critical,Format,yes
754,RVP Range,Must be between 6 and 16,Critical,Range,yes
755,RVP Oxy Waiver Value,Value must be 1.,Critical,Range,yes
756,TAME Mkt Share Data Type,This element must be reported as a float.,Critical,Format,yes
757,TAME Mkt Share Range,Must be within 0 to 1.,Critical,Range,yes
758,TAME Volume Data Type,This element must be reported as a float.,Critical,Format,yes
759,TAME Volume Range,Must be within 0 to 16.5.,Critical,Range,yes
760,Mkt Share Calculation,"The sum of ETBE Mkt Share, ETOH Mkt Share, MTBE Mkt Share, and TAME Mkt Share must be less than or equal to 1.01.",Critical,Calculation,yes
761,ETBE Mkt Share and Volume,"If either ETBE Mkt Share or ETBE Volume is zero, the other must also be 0.",Critical,Conditional,yes
762,ETOH Mkt Share and Volume,"If either ETOH Mkt Share or ETOH Volume is zero, the other must also be 0.",Critical,Conditional,yes
763,MTBE Mkt Share and Volume,"If either MTBE Mkt Share or MTBE Volume is zero, the other must also be 0.",Critical,Conditional,yes
764,TAME Mkt Share and Volume,"If either TAME Mkt Share or TAME Volume is zero, the other must also be 0.",Critical,Conditional,yes
765,NG Id Data Type,This element must be reported as an integer.,Critical,Format,yes
766,NG Id Value,Must match reference in CountyYearMonth table.,Critical,Conditional,yes
767,NG Sulfur Data Type,This element must be reported as an integer.,Critical,Format,yes
768,NG Sulfur Range,Must be between 0.01 and 5000 (inclusive).,Critical,Range,yes
771,NLEV File Name File Exists,"If a value if reported for this file name, then the file must exist in the submission.",Warning,Conditional,yes
773,T2 Cert File Name File Exists,"If a value is reported for this file name, the file must exist in the submission. Extension must be "".t2c"".",Warning,Conditional,yes
775,T2 Evap Phase In File Name File Exists,"If a value is reported for this file name, the file must exist in the submission. Extension must be "".t2v"".",Warning,Conditional,yes
777,T2 Exh Phase In File Name File Exists,"If a value is reported for this file name, the file must exist in the submission. Extension must be "".t2x"".",Warning,Conditional,yes
812,Unique Location,"The location block must contain one combination of Tribe; State and County; State, County, Census Tract; or State and Country.",Critical,Conditional,no
830,Agency Emissions Unit Identifier Matches Facility Site,"To use the agency emissions unit identifier for identification, the agency unit identifier must exist in the facility inventory for this facility site.",Critical,Conditional,no
832,PM Primaries Emissions Comparison,PM2.5 Primary can not exceed PM10 Primary,Critical,Conditional,no
835,PM Filterables Emissions Comparison,PM2.5 Filterable can not exceed PM10 Filterable,Critical,Conditional,no
838,PM Percent Control Measure Reduction Efficiency Dependency,"If both are reported, PM2.5 percent control measure reduction efficiency cannot be larger than PM10 percent control measure reduction efficiency.",Critical,Conditional,no
849,Control Pollutant Cardinality,Control pollutant codes must be unique within a control approach.,Critical,Cardinality,no
850,Control Measure Cardinality,Control Measure codes must be unique within a control approach.,Critical,Cardinality,no
870,Event Identifier is required.,The event identifier is required when reporting an event. The component and all dependent data will not be stored if there are missing required data.,Warning,Duplication,no
872,Event Identifier maximum length is {1}.,Maximum allowable width of 20 characters.,Warning,Duplication,no
873,The combination of Program System Code and Event Identifier match an existing Event in the database. It will be replaced.,"If program system code and event identifiermatch an existing event in the database, it will be replaced.",Warning,Duplication,no
874,Program System Code must match value in list of registered codes.,Must match value in list of registered codes.,Warning,Duplication,no
875,Program System Code is required when reporting an Event.,A program system code is required when reporting an event. The component and all dependent data will not be stored if there is missing required data.,Warning,Duplication,no
876,Event Name maximum length is {1}. Longer submissions are truncated.,Maximum allowable width of 40 characters. Longer submissions will be truncated.,Warning,Duplication,no
877,Land Manager should be reported.,Land manager should be reported.,Warning,Duplication,no
879,Land Manager maximum length is {1}. Longer submissions are truncated.,Maximum allowable width of 40 characters. Longer submissions will be truncated.,Warning,Duplication,no
880,Location Description maximum length is {1}. Longer submissions are truncated.,Maximum allowable width of 100 characters. Longer submissions will be truncated.,Warning,Duplication,no
881,Event Classification Code is required.,Event classification code is required when reporting an event. The component and all dependent data will not be stored if there is missing required data.,Warning,Duplication,no
882,Event Classification Code must match value in list of registered codes.,Must match value in code list.,Warning,Duplication,no
883,Event Size Source Code should be reported.,Event size source code should be reported.,Warning,Duplication,no
884,Event Size Source Code must match value in list of registered codes.,Must match value in code list.,Warning,Duplication,no
885,Containment Date reported in the Event must be formatted as YYYY-MM-DD.,Date in the format of YYYY-MM-DD.,Warning,Duplication,no
886,Recurrence Indicator Code reported in the Event component is invalid.  The allowed values are 'Y' and 'N'.,"If provided, must be 'Yes' or 'No'.",Warning,Duplication,no
887,Recurrence Year must be reported as an integer.,This element must be reported as an integer.,Warning,Duplication,no
888,Recurrence Year reported in the Event is outside the allowable range.,Must be no later than current year -1.,Warning,Duplication,no
889,Ground Based Data Source Code is required.,Ground based data source code is required when reporting an event. The component and all dependent data will not be stored if there is missing required data.,Warning,Duplication,no
890,Ground Based Data Source Code must match value in list of registered codes.,Must match value in code list.,Warning,Duplication,no
891,Remote Sensing Data Source Code is required.,Remote sensing data source code required when reporting an event. The component and all dependent data will not be stored if there is missing required data.,Warning,Duplication,no
892,Remote Sensing Data Source Code must match value in list of registered codes.,Must match value in code list.,Warning,Duplication,no
893,Fuel Consumption and Emissions Model Code must match value in list of registered codes.,Must match value in code list.,Warning,Duplication,no
894,Fuel Type Model Code must match value in list of registered codes.,Must match value in code list.,Warning,Duplication,no
895,Fuel Selection Code must match value in list of registered codes.,Must match value in code list.,Warning,Duplication,no
896,Ignition Method Code must match value in list of registered codes.,Must match value in code list.,Warning,Duplication,no
897,Ignition Location Code must match value in list of registered codes.,Must match value in code list.,Warning,Duplication,no
898,Ignition Orientation Code must match value in list of registered codes.,Must match value in code list.,Warning,Duplication,no
899,Event Comment maximum length is {1}. Longer submissions are truncated.,Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Duplication,no
900,Identifier Exceeds 20 Characters,Identifier Exceeds 20 Characters,Critical,Format,no
901,Identifier Exceeds 20 Characters,Identifier Exceeds 20 Characters,Critical,Format,no
902,Check Entry,Check Entry,Critical,Format,no
903,PSC Invalid,PSC Invalid,Critical,Code,no
904,PSC Invalid,PSC Invalid,Critical,Code,no
905,Invalid Date Format,Invalid Date Format,Critical,Format,no
906,Invalid Date Format,Invalid Date Format,Critical,Format,no
907,Exceeds Limit,Exceeds Limit,Critical,Format,no
908,Event Begin Date in the Event Reporting Period component is a required data element.,Event begin date is required when reporting an event reporting period component. The component and all dependent data will not be stored if there is missing required data.,Warning,Duplication,no
909,"Event Begin Date, reported in the Event Reporting Period, does not meet the required format.",Date in the format of YYYY-MM-DD.,Warning,Duplication,no
910,Event End Date in the Event Reporting Period component is a required data element.,Event end date is required when reporting an event reporting period component. The component and all dependent data will not be stored if there is missing required data.,Warning,Duplication,no
911,"Event End Date, reported in the Event Reporting Period, does not meet the required format.",Date in the format of YYYY-MM-DD.,Warning,Duplication,no
912,An Event duration must be a minimum of two days.,Event duration must be a minimum of two days.,Warning,Duplication,no
913,Invalid Start Date and End Date,Invalid Start Date and End Date,Critical,Comparison,no
915,Event Stage Code in the Event Reporting Period component is a required data element.,Event stage code is required when reporting an event reporting period. The component and all dependent data will not be stored if there is missing required data.,Critical,Duplication,no
916,Event Stage Code reported in the Event Reporting Period component is invalid,Must match value in code list.,Warning,Duplication,no
917,"Begin Hour, reported in the Event Reporting Period, does not meet the required format.",This element must be reported as an integer.,Warning,Duplication,no
918,Begin Hour reported in the Event Reporting Period component is outside the allowable range.,Must be 0 to 23 inclusive.,Warning,Duplication,no
919,"End Hour, reported in the Event Reporting Period, does not meet the required format.",This element must be reported as an integer.,Warning,Duplication,no
920,End Hour reported in the Event Reporting Period component is outside the allowable range.,Must be 0 to 23 inclusive.,Warning,Duplication,no
921,"Event Reporting Period Comment, reported in the Event Reporting Period component, does not meet the required format.",Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Duplication,no
922,The Event Location must contain one combination of Tribal Code or State and County FIPS Code.,The event location must contain one combination of Tribal Code; State and County FIPS Code; or State and Country Code.,Warning,Duplication,no
923,Valid State Code,Invalid State and County FIPS Code,Critical,Code,no
925,Valid Tribal Code,Invalid Tribal Code,Critical,Code,no
926,Invalid FIPS Code,Invalid FIPS Code,Critical,Code,no
927,Area Within Perimeter in the Geographic Coordinates should be reported.,Area within perimeter should be reported.,Warning,Duplication,no
928,Area Within Perimeter does not meet the required format.,This element must be reported as a float.,Warning,Duplication,no
929,Area Within Perimeter must be the same for both flaming and smoldering stages if they are reported separately.,"If flaming and smoldering stages are reported separately for the same period, value should be the same for both.",Warning,Duplication,no
931,Area Within Perimeter and Area Within Perimeter Unit of Measure Code must be reported together.,Area within perimeter and area within perimeter unit of measure must be reported together.,Warning,Duplication,no
932,Area Within Perimeter Unit of Measure Code must match value in list of registered codes.,Must match value in code list.,Warning,Duplication,no
933,Percent of Area Producing Emissions does not meet the required format.,This element must be reported as an integer.,Warning,Duplication,no
934,"Percent Of Area Producing Emissions, reported for Event Locations will not be stored.","If Percent Of Area Producing Emissions for Event Locations are submitted, the data will not be stored.",Warning,Conditional,no
935,Percent of Area Producing Emissions must be a value between {0} and {1}.,Must be between 1 and 100 inclusive.,Warning,Duplication,no
936,"Percent of Area Producing Emissions must be the same for both flaming and smoldering stages, if they are reported separately.","If flaming and smoldering stages are reported separately for the same period, value should be the same for both.",Warning,Duplication,no
937,Shape File Identifier is required when reporting Geospatial Parameters.,Shape file identifier is required when reporting geospatial parameters. The component and all dependent data will not be stored if there is missing required data.,Warning,Duplication,no
938,Shape File Identifier maximum length is {1}.,Maximum allowable width of 20 characters.,Warning,Duplication,no
940,Area Within Shape is required when reporting Geospatial Parameters.,Area within shape is required when reporting geospatial parameters.,Warning,Duplication,no
941,Area Within Shape does not meet the required format.,This element must be reported as a float.,Warning,Duplication,no
942,"Area Within Shape must be the same for both flaming and smoldering stages, if they are reported separately.","If flaming and smoldering stages are reported separately for the same period, value should be the same for both.",Warning,Duplication,no
943,Area Within Shape Unit of Measure Code is required when reporting Geospatial Parameters.,Area within shape unit of measure code is required when reporting geospatial parameters.,Warning,Duplication,no
944,Area Within Shape Unit of Measure Code must match a value in list of registered codes.,Must match value in code list.,Warning,Duplication,no
946,Percent of Area Producing Emissions does not meet the required format.,This element must be reported as an integer.,Warning,Duplication,no
947,Percent of Area Producing Emissions must be a value between {0} and {1}.,Must be between 1 and 100 inclusive.,Warning,Duplication,no
948,"Percent of Area Producing Emissions must be the same for both flaming and smoldering stages, if they are reported separately.","If flaming and smoldering stages are reported separately for the same period, value should be the same for both.",Warning,Duplication,no
949,Geospatial Parameters Comment max length is {1}. Longer submissions are truncated.,Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Duplication,no
950,Invalid Extension,Invalid Extension,Critical,Format,no
951,Invalid Content Type,Invalid Content Type,Critical,Code,no
952,Source Classification Code in the Event Emissions Process component is a required data element.,Source classification code is required when reporting an event emissions process. The component and all dependent data will not be stored if there is missing required data.,Warning,Duplication,no
953,Source Classification Code reported in the Event Emissions Process component is invalid.,Must match value in code list.,Warning,Duplication,no
954,Fuel Configuration Code reported in the Event Emissions Process component is invalid.,Must match value in code list.,Warning,Duplication,no
955,"Fuel Loading, reported in the Event Emissions Process component, does not meet the required format.",This element must be reported as a float.,Warning,Duplication,no
956,"If Fuel Loading is reported in the Event Emissions Process component, then the Fuel Loading Unit of Measure Code is required.",If fuel loading is reported then fueling loading unit of measure code is required.,Warning,Duplication,no
957,Fuel Loading Unit of Measure Code reported in the Event Emissions Process component is invalid.,Must match value in code list.,Warning,Duplication,no
958,"Amount of Fuel Consumed, reported in the Event Emissions Process component, does not meet the required format.",This element must be reported as a float.,Warning,Duplication,no
959,"If Amount of Fuel Consumed is reported in the Event Emissions Process component, then the Amount of Fuel Consumed Unit of Measure is required.",If amount of fuel is reported then amount of fuel consumed unit of measure code is required.,Warning,Duplication,no
960,Amount of Fuel Consumed Unit of Measure Code reported in the Event Emissions Process component is invalid.,Must match value in code list.,Warning,Duplication,no
961,"Percent Ten Hour Fuel Moisture, reported in the Event Emissions Process component, does not meet the required format.",This element must be reported as a decimal.,Warning,Duplication,no
962,"Percent One Thousand Hour Fuel Moisture, reported in the Event Emissions Process component, does not meet the required format.",This element must be reported as a decimal.,Warning,Duplication,no
963,"Percent Live Fuel Moisture, reported in the Event Emissions Process component, does not meet the required format.",This element must be reported as a decimal.,Warning,Duplication,no
964,"Heat Release, reported in the Event Emissions Process component, is required",The Heat Release value is required when reporting an event. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
965,"Fuel Loading Percent Duff Fuel Moisture, reported in the Event Emissions Process component, does not meet the required format.",This element must be reported as a decimal.,Warning,Duplication,no
966,"Heat Release, reported in the Event Emissions Process component, does not meet the required format.",This element must be reported as a float.,Warning,Duplication,no
967,"If Heat Release is reported in the Event Emissions Process component, then Heat Release Unit of Measure is required.",If heat release is reported then heat release unit of measure code is required.,Warning,Duplication,no
968,Heat Release Unit of Measure Code reported in the Event Emissions Process component is invalid.,Must match value in code list.,Warning,Duplication,no
969,Emission Reduction Technique Code reported in the Event Emissions Process component is invalid.,Must match value in code list.,Warning,Duplication,no
970,"Event Emissions Process Comment, reported in the Event Emissions Process component, does not meet the required format.",Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Duplication,no
990,Invalid Attachment Name,Invalid Attachment Name,Critical,Format,no
991,Invalid Extension,Invalid Extension,Critical,Format,no
992,Fuel Loading reported in the Event Emissions Process component is outside the allowable range.,Must be greater than zero.,Warning,Duplication,no
994,Percent Ten Hour Fuel Moisture reported in the Event Emissions Process component is outside the allowable range.,"Must be a value between zero and 100, inclusive.",Warning,Duplication,no
995,Percent One Thousand Hour Fuel Moisture reported in the Event Emissions Process component is outside the allowable range.,"Must be a value between zero and 100, inclusive.",Warning,Duplication,no
996,Percent Live Fuel Moisture reported in the Event Emissions Process component is outside the allowable range.,"Must be a value between zero and 100, inclusive.",Warning,Duplication,no
997,Percent Duff Fuel Moisture reported in the Event Emissions Process component is outside the allowable range.,"Must be a value between zero and 100, inclusive.",Warning,Duplication,no
998,Heat Release reported in the Event Emissions Process component is outside the allowable range.,Must be greater than zero.,Warning,Duplication,no
1031,Operating Status Dependency for Emissions Units,"An emissions unit operating status may not be changed if the facility site operating status is ""Temporarily Shutdown"" (TS) or ""Permanently Shutdown"" (PS).",Critical,Conditional,no
1049,Event Name should be reported for wildfires and wildland fire use SCCs.,Event name should be reported for wildfires and wildland fire use SCCs.,Warning,Duplication,no
1050,Containment Date should be reported for wildfires and wildland fire use SCCs.,Containment date should be reported for wildfires and wildland fire use SCCs.,Warning,Duplication,no
1052,Invalid Attachment Content Type,Invalid Attachment Content Type,Critical,Code,no
1053,Amount of Fuel Consumed reported in the Event Emissions Process component is outside the allowable range.,Amount of fuel consumed must be greater than zero.,Warning,Duplication,no
1070,Operating Status Dependency for Release Points,"A release point operating status may not be changed if the facility site operating status is ""Temporarily Shutdown"" (TS) or ""Permanently Shutdown"" (PS).",Critical,Conditional,no
1090,Regulatory Start Year Data Type,Year in the format of YYYY.,Critical,Format,no
1091,Regulatory Start Year Range,The regulatory start year must be between 1900 and 2050.,Critical,Range,no
1094,Release Point Operating Status Present,The operating status is required when reporting the emissions release point component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
1095,Release Point Operating Status Code Valid,Must match value in code list.,Critical,Code,no
1096,Release Point Operating Status Code and Year,"If the release point status code is not ""Operating"" (OP), the release point status code year should be reported.",Critical,Conditional,no
1097,Release Point Operating Status Code Year Range,The year reported should be between 1900 to 2050.,Critical,Range,no
1098,Release Point Operating Status Code Year Data Type,This element must be reported as an integer.,Critical,Format,no
1110,Source Scale Map Number Range,"Must be between 1 and 999,999, inclusive.",Critical,Range,no
1111,Horizontal Accuracy Measure Critical Range,"Must be between 0 and 999,999, inclusive.",Critical,Range,no
1112,Release Point Fence Line Distance Measure Critical Range,"Must be between 0 and 99,999; inclusive.",Critical,Range,no
1132,Release Point Present for Process,A process must go to at least one release point.,Critical,Present,no
1133,Vertical Measure Critical Range,"Must be between -1000 and 999,999; inclusive.",Critical,Range,no
1169,Facility Site Address Not Present for Portable Facilities,"If the county FIPS code is 777, then the address component will not be accepted.  All data elements in the facility site address component will not be stored.",Critical,Present,no
1170,Geographic Coordinates Not Present for Portable Facilities,"If the county FIPS code is 777, then the geographic coordinates component will not be accepted.  All data elements in the geographic coordinates component will not be stored.",Critical,Present,no
1189,Active Identifier per Program System Code for  Unit Identification Cardinality,A unit may only have one active identifier for each program system code. Active means the end date is null. Currently active identifiers with matching system codes will be automatically retired.,Critical,Cardinality,no
1213,"Recurrence Year must be a value between {0,number,#} and {1,number,#}.",Recurrence Year Critical Range to be determined,Warning,Duplication,no
1230,Facility Site Geographic Coordinates Protected,"If the data in the EIS for facility site geographic coordinates are protected, the data will not be stored. A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
1231,Release Point Geographic Coordinates Protected,"If the data in the EIS for release point geographic coordinates are protected, data will not be stored. A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
1249,Emissions Unit Design Capacity Protected,"If the data in the EIS for emissions unit design capacity and design capacity unit of measure are protected, the data will not be stored. A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
1250,Emissions Unit Regulation Protected,"If the data in the EIS for emissions unit regulation are protected, the data will not be stored. A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
1251,Process Regulation Protected,"If the data in the EIS for emissions process regulation are protected, the data will not be stored. A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
1252,Emissions Unit Control Approach Protected,"If the data in the EIS for emissions unit control approach are protected, the data will not be stored. A request to unprotect the data can be made through the Gateway. Note this affects control approach, control measure, and control pollutant components.",Critical,Conditional,no
1253,Emissions Process Control Approach Protected,"If the data in the EIS for emissions process control approach are protected, the data will not be stored. A request to unprotect the data can be made through the Gateway. Note this affects control approach, control measure, and control pollutant components.",Critical,Conditional,no
1269,Process Level Regulation,Only regulations indicated to be reported at the process level should be reported at the process level.,Critical,Conditional,no
1270,Emissions Unit Level Regulation,Only regulations indicated to be reported at the unit level should be reported at the unit level.,Critical,Conditional,no
1289,Facility Site data item Protected,"If the value for a facility data item is protected, the data will not be stored. A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
1290,Facility Site Identifier Protected,"If the data in the EIS for a facility site identifier are protected, the data will not be stored.  A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
1291,Identifier Protected for Unit Identification,"If the data in the EIS for identifier in unit identification are protected, the data will not be stored.  A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
1311,Stack Height Protected,"If the data in the EIS for stack height are protected, the data will not be stored.  A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
1312,Stack Diameter Protected,"If the data in the EIS for stack diameter are protected, the data will not be stored.  A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
1314,Stack Gas Velocity and UoM Protected,"If the data in the EIS for stack gas velocity and UoM are protected, the data will not be stored.  A request to unprotect the data can be made through the Gateway.",Critical,Conditional,no
